AC,CALI,DEN,GR,NEU,RDEP,RMED
125.2321,8.8143,2.2026,56.1638,43.6368,0.6087,0.6762
125.5098,8.7681,2.1643,44.9219,50.3507,0.5999,0.6495
125.7876,8.8571,2.158,36.1207,44.1277,0.5694,0.6224
126.0654,8.8571,2.1595,35.5744,36.7296,0.5336,0.6077
126.3432,8.8571,2.1592,32.0499,34.0544,0.4569,0.5901
126.621,8.8571,2.1539,31.9099,31.4314,0.4087,0.5599
120.6005,8.9182,2.1531,26.1152,31.8684,0.406,0.515
112.7085,8.9524,2.1538,31.6886,34.4314,0.4055,0.4983
112.9062,8.9524,2.1469,30.4695,34.4314,0.4017,0.4865
115.357,8.9346,2.146,28.9995,34.8009,0.3983,0.4643
117.3759,8.924,2.1457,31.0854,25.9803,0.3864,0.4505
102.737,8.9524,2.1492,28.8594,30.7771,0.3776,0.4595
102.2533,8.9524,2.1528,28.25,34.0408,0.3744,0.4639
102.4617,8.9524,2.1463,33.1442,29.3304,0.3664,0.465
102.047,8.9524,2.1416,29.7309,32.142,0.3647,0.4655
102.5118,8.9524,2.1453,26.7229,31.2044,0.3654,0.4665
101.7544,8.9524,2.1515,29.3751,25.395,0.3721,0.468
100.9652,8.9524,2.1517,25.4964,30.5519,0.3839,0.4799
101.4118,8.9524,2.1503,28.29,31.132,0.4014,0.4872
100.8799,8.9524,2.1515,26.2688,29.6192,0.4113,0.4946
100.8148,8.9524,2.1573,26.61,30.062,0.4127,0.5072
100.9104,8.9524,2.1599,26.2145,34.9771,0.445,0.519
100.6837,8.9524,2.154,25.0821,29.3636,0.4655,0.5163
100.3693,8.9524,2.1582,25.986,29.7333,0.4726,0.507
99.7009,8.9524,2.1652,29.8358,28.0439,0.4859,0.5477
99.201,8.9932,2.1707,23.9307,23.8943,0.4897,0.5468
98.4162,9.0476,2.1792,30.0022,26.0108,0.4955,0.5473
98.7043,9.0476,2.182,26.4629,27.4591,0.4937,0.5444
98.1801,9.0476,2.1777,25.1056,25.6248,0.4944,0.5411
98.3427,9.0476,2.1765,25.102,25.7928,0.4954,0.5412
98.7014,9.0476,2.1854,27.7659,22.6237,0.4894,0.5403
98.2169,9.0476,2.1847,25.9436,29.0487,0.4987,0.5502
98.1503,9.0476,2.1829,26.0701,23.9245,0.5047,0.56
97.1945,9.0476,2.1838,27.6809,26.8593,0.5118,0.5636
93.4711,9.0476,2.1945,24.3599,29.8527,0.5228,0.5817
90.4988,9.0476,2.2156,29.9888,31.6069,0.5495,0.5907
95.8623,9.0476,2.2435,29.1744,36.5239,0.5762,0.6001
95.9764,8.9895,2.2712,41.6884,53.5019,0.6205,0.6125
96.334,9.1548,2.2881,57.1066,45.9172,0.6565,0.6217
97.4681,9.36,2.2925,64.6766,66.9556,0.6421,0.6391
97.4043,9.5238,2.2888,72.0026,54.0675,0.6428,0.6603
95.7536,9.46,2.2828,65.3725,50.4712,0.6645,0.6508
95.9578,9.5415,2.2813,70.435,58.4364,0.7211,0.6808
95.8608,10.0194,2.2904,69.6034,57.1937,0.727,0.6907
97.5055,10.1905,2.2998,63.4079,49.4244,0.736,0.6566
99.5607,10.1905,2.3212,67.288,61.797,0.754,0.714
100.2463,10.1905,2.3436,67.4046,80.2961,0.7563,0.7139
106.072,10.118,2.3407,63.9893,56.7599,0.7565,0.7208
113.8718,10.0952,2.3345,75.5185,61.9597,0.7511,0.7274
115.9514,10.0952,2.3385,68.7503,51.0928,0.7435,0.7623
113.7681,10.1905,2.3212,60.9721,46.8134,0.7279,0.8239
113.7501,10.1905,2.27,63.5046,60.8647,0.7416,0.8581
108.7316,10.2225,2.2484,66.2885,52.3753,0.771,0.9039
100.7778,10.2857,2.2677,63.2363,67.3744,0.7998,0.9776
97.9253,10.2158,2.3283,58.6454,44.7603,0.8175,1.0056
109.6981,10.0112,2.3907,57.7531,42.3311,0.8546,1.0232
112.1881,9.9048,2.4256,57.6739,39.4226,0.9582,1.0491
109.2646,9.9048,2.4449,52.741,31.0882,1.0939,1.1443
110.8459,9.9048,2.4575,55.4091,34.1102,1.1603,1.2791
109.4523,9.9048,2.4555,53.0576,33.1914,1.2399,1.3203
107.8905,9.9048,2.4367,50.4224,32.275,1.3065,1.3848
108.8137,9.9048,2.3969,51.9802,31.6842,1.3228,1.3134
109.8226,9.7143,2.3613,53.6824,35.5298,1.2716,1.2309
109.3253,9.7143,2.4284,52.8434,37.5848,1.2471,1.0974
109.3881,9.7143,2.4461,52.9494,41.7267,1.2274,1.0906
108.1622,9.7111,2.4101,50.8809,45.7881,1.1475,1.0793
107.4124,9.619,2.3716,49.6157,57.1276,1.0289,0.996
107.1724,9.619,2.3389,48.5433,89.8466,0.9629,0.9478
109.6206,9.619,2.2976,50.0234,58.3091,0.9963,0.974
108.6162,9.619,2.2679,52.8516,45.1401,1.0428,0.9948
112.3773,9.619,2.2881,53.397,32.812,0.9744,0.9731
122.9688,9.7143,2.3159,56.2126,28.4036,0.9244,0.9247
124.5167,9.7143,2.3238,60.3687,44.9193,0.9083,0.8792
121.0668,9.729,2.3254,61.2566,56.4475,0.9041,0.8692
116.8863,9.8095,2.333,60.0254,56.0056,0.9259,0.8663
115.0856,9.9048,2.3367,60.1135,59.9086,0.9402,0.8547
114.7823,9.9048,2.3308,61.9901,32.7867,0.8771,0.8583
114.6427,9.9048,2.318,60.2103,51.5973,0.8085,0.8382
116.1623,9.9048,2.2975,62.8751,62.8586,0.8587,0.8196
115.6233,9.9281,2.2917,62.7232,48.7555,0.8086,0.8107
115.0844,10.0,2.2969,50.4851,60.1299,0.729,0.7991
114.5455,9.9048,2.2969,55.1364,53.3697,0.7215,0.7998
114.0065,9.9048,2.2873,62.0991,51.5444,0.7017,0.792
113.4677,9.8757,2.2793,61.8845,55.7615,0.6938,0.7479
112.9287,9.8095,2.2798,65.1632,35.1928,0.6847,0.7041
112.3898,9.8095,2.2874,48.0339,56.885,0.676,0.6847
111.8508,9.7285,2.2756,33.6787,92.7818,0.6624,0.6605
111.3119,9.6446,2.2216,34.6727,51.8235,0.6356,0.6264
110.773,9.8595,2.1701,37.4539,30.8812,0.608,0.6212
109.1058,9.8311,2.1534,31.5217,28.6154,0.5974,0.5945
106.175,9.4286,2.1565,29.8786,29.6569,0.5762,0.5821
105.1747,9.388,2.1601,35.3178,27.5399,0.5214,0.5665
103.6337,9.3333,2.1599,36.675,29.5593,0.4842,0.5531
101.9521,9.3333,2.1636,31.1974,28.0238,0.4562,0.5369
102.7762,9.3333,2.1637,30.5326,26.692,0.427,0.5293
102.0005,9.3333,2.1661,34.9358,26.856,0.4085,0.5171
101.3953,9.3331,2.1728,34.9265,29.9176,0.3952,0.5085
102.6633,9.2874,2.1711,30.4569,25.7459,0.3937,0.491
100.4747,9.3333,2.1732,30.5148,34.3391,0.384,0.494
99.5733,9.3333,2.1789,31.7581,22.4344,0.3756,0.4856
99.5176,9.3333,2.1774,33.2002,21.629,0.3887,0.4771
100.9444,9.3883,2.1724,31.4528,28.8213,0.4063,0.4899
100.9391,9.4286,2.1762,32.2484,24.0585,0.4205,0.4894
98.7598,9.4286,2.1831,32.2484,22.2622,0.4258,0.4922
97.2233,9.4286,2.1868,31.3387,21.5674,0.4324,0.499
96.1341,9.3678,2.1918,35.9081,25.6073,0.4508,0.5344
94.4213,9.2381,2.1992,33.2816,25.5663,0.4644,0.5784
95.5632,9.2381,2.2022,31.6453,26.5619,0.4837,0.6269
94.4108,9.3333,2.2022,31.2786,27.6521,0.5124,0.6774
92.6197,9.3333,2.2035,36.8132,22.0248,0.5597,0.7676
92.8368,9.4286,2.2065,34.2998,30.4705,0.5818,0.8363
92.7007,9.4286,2.21,37.1533,36.5653,0.6146,0.9321
92.8183,9.4286,2.2334,34.4772,37.0302,0.6853,1.0071
94.547,9.4286,2.2816,50.7926,41.677,0.8116,1.0525
96.112,9.4547,2.3379,55.8717,47.3958,0.9118,1.1469
97.9019,9.6742,2.4314,63.3644,49.5588,1.0311,1.3475
106.3804,9.7805,2.5257,64.3018,36.6613,1.1902,1.518
113.7689,9.7923,2.5522,60.3412,29.2296,1.308,1.5677
108.0885,9.8095,2.5544,50.7565,26.28,1.4964,1.6384
100.8103,9.7286,2.5496,38.4759,19.2283,1.579,1.6925
98.4176,9.7143,2.5218,34.4387,16.7254,1.6874,1.6482
92.3351,9.7981,2.4739,35.1873,17.5206,1.8809,1.601
90.0541,9.8095,2.4468,40.3318,21.7412,1.9482,1.3537
87.0761,9.8962,2.4432,39.254,28.5856,1.7977,1.242
81.2917,9.8095,2.457,51.2877,39.1909,1.5194,1.2279
107.7931,9.8095,2.4503,70.7579,37.7386,1.2848,1.2069
111.7236,9.8095,2.3878,66.6967,51.4587,1.2208,1.1825
118.3598,9.8095,2.2951,67.1842,63.3054,1.1537,1.13
117.3981,9.7632,2.2469,72.5338,51.7292,1.0697,1.0637
117.0307,9.7144,2.2256,63.607,42.3958,0.9673,0.9521
116.3462,9.7604,2.214,65.7388,44.0765,0.9641,0.9099
115.3643,9.6161,2.1982,55.511,32.1093,0.9719,0.8414
115.2361,9.4197,2.1816,52.6854,34.1246,0.9119,0.8443
115.6969,9.2264,2.1811,47.3666,42.3356,0.8691,0.7764
115.5015,9.1025,2.1918,46.7184,41.7428,0.8736,0.8074
111.8567,9.1429,2.1954,50.4022,34.024,0.8406,0.8337
106.9355,9.1429,2.199,47.6995,38.3901,0.7856,0.8126
109.5501,9.1429,2.2006,41.9718,42.346,0.7769,0.7785
108.5376,9.1429,2.1943,45.1936,32.7058,0.7449,0.7803
